FAMILIA;TAMAÑO;PLANIFICACIÓN;MAE_XGB;MAE_PLANNER;N;MEJORA_XGB;MODELO_ELEGIDO
AIO;45' - 56';CIERRE DE CUADROS Y PENDIENTES MECANICOS;16,646759510040283;39,0;3;22,35324048995972;xgboost
DH;2u-4u;DESENSAMBLAJE INSTALACION ELECTRICA;1,3437442779541016;23,0;1;21,6562557220459;xgboost
AIO;45' - 56';INSTALACION DE PUERTAS;11,886239369710287;33,0;3;21,11376063028971;xgboost
AIO;45' - 56';SISTEMA DE ILUMINACION/EMERGENCIAS;9,56338628133138;30,666666666666668;3;21,10328038533529;xgboost
AIO;45' - 56';REPASOS DE PINTURA;6,957849025726318;27,0;2;20,04215097427368;xgboost
SKID;20' - 45';PANELADO;2,8402818044026694;22,166666666666668;3;19,326384862264;xgboost
AIO;45' - 56';MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;32,713144302368164;52,0;2;19,28685569763184;xgboost
PM;20' - 45';INSTALACION DE BANDEJAS;20,70084857940674;39,8125;8;19,11165142059326;xgboost
DH;2u-4u;SISTEMA DE ILUMINACION/EMERGENCIAS;2,128711700439453;20,5;1;18,371288299560547;xgboost
AIO;45' - 56';INSTALACION DE SENALES;14,195406595865885;32,166666666666664;3;17,97126007080078;xgboost
AIO;45' - 56';TRABAJOS DE INSTALACION PCI;17,381542205810547;35,0;1;17,618457794189453;xgboost
PM;50' - 56';INSTALACION DE SUELO;16,785556057521273;33,94285714285714;7;17,15730108533587;xgboost
PM;20' - 45';INSTALACION DE ELEMENTOS Y/O EQUIPOS;16,357035875320435;33,4375;8;17,080464124679565;xgboost
MO;BD1;LIMPIEZA FINAL;16,04254150390625;33,0;1;16,95745849609375;xgboost
MO;BD3;REALIZACION DE PRUEBAS PCI;37,128456115722656;54,0;1;16,871543884277344;xgboost
MO;BD1;CERRAMIENTO DE ALUMINIO;1,6022834777832031;18,0;1;16,397716522216797;xgboost
PM;50' - 56';TRANSFORMADOR;44,62982940673828;61,0;1;16,37017059326172;xgboost
MO;BD3;SISTEMA DE TIERRAS;10,053265571594238;26,25;2;16,19673442840576;xgboost
PM;50' - 56';EMBALAJE;7,075146770477295;22,4;1;15,324853229522704;xgboost
DH;2u-4u;PERFILERIA EXTERIOR;18,929100036621094;34,0;1;15,070899963378906;xgboost
DH;2u-4u;ENSAMBLAJE DE CUADROS CUADRISTA;8,446998596191406;23,0;1;14,553001403808594;xgboost
MO;BD3;CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;24,159072875976562;38,5;2;14,340927124023438;xgboost
PM;20' - 45';INSTALACION ROXTEC;16,78287124633789;30,8125;8;14,02962875366211;xgboost
AIO;20' - 40';INSTALACION DE BANDEJAS;20,157311121622723;34,166666666666664;3;14,009355545043942;xgboost
PM;50' - 56';CORTE Y ENSAMBLAJE DE CARRILES Y BANDEJAS;34,777711455027266;48,56666666666666;6;13,788955211639395;xgboost
PM;20' - 45';CORTE Y ENSAMBLAJE DE CARRILES Y BANDEJAS;15,19135594367981;28,5625;8;13,37114405632019;xgboost
AIO;45' - 56';CONTROL DE ACCESO;5,854726791381836;19,0;2;13,145273208618164;xgboost
MO;BD3;MONTAJE DE EQUIPOS DE MONITORIZACION;19,105680465698242;32,0;2;12,894319534301758;xgboost
MO;BD3;REALIZACION DE PRUEBAS COOLING;8,75338363647461;21,5;1;12,74661636352539;xgboost
SKID;20' - 45';LIMPIEZA FINAL CUADROS;2,373847007751465;15,0;2;12,626152992248535;xgboost
PM;20' - 45';INTRODUCCION/FIJACION DE EQUIPOS;20,230467319488525;32,5;8;12,269532680511476;xgboost
SKID;20' - 45';ETIQUETADO DE CABLE Y EQUIPOS;3,4365342458089194;15,333333333333334;3;11,896799087524414;xgboost
