PLANIFICACIÓN;Horas_Patron;FAMILIA;TAMAÃ‘O
INSTALACION CARRILES DE SOPORTACION;112.0;AIO;45' - 56'
INSTALACION DE BANDEJAS;185.0;AIO;45' - 56'
MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;59.0;AIO;45' - 56'
EQUIPOS;;AIO;45' - 56'
INTRODUCCION/FIJACION de EQUIPOS;156.0;AIO;45' - 56'
ENSAMBLAJE DE CUADROS CUADRISTA;30.0;AIO;45' - 56'
ENSAMBLAJE DE EQUIPOS (CUADRO PRINCIPAL Y UPS);18.0;AIO;45' - 56'
CADENAS PORTACABLES;8.0;AIO;45' - 56'
INSTALACION DE SUELO;18.0;AIO;45' - 56'
PANELADO;178.0;AIO;45' - 56'
MODIFICACIONES EN PANEL;;AIO;45' - 56'
R-QP05-12 Pre-Installation of doors;1.0;AIO;45' - 56'
INSTALACION  DE PUERTAS;20.0;AIO;45' - 56'
INSTALACION ROXTEC;17.0;AIO;45' - 56'
INSTALACION DE ELEMENTOS Y/O EQUIPOS;36.0;AIO;45' - 56'
CERRAMIENTO DE ALUMINIO;41.0;AIO;45' - 56'
PERFILERIA EXTERIOR;31.0;AIO;45' - 56'
R-QP05-28 Prefabricated Module Roof Inspection;1.0;AIO;45' - 56'
CORTE Y/O PREPARACION DE CABLE;44.0;AIO;45' - 56'
MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;20.0;AIO;45' - 56'
SISTEMA DE TIERRAS;69.0;AIO;45' - 56'
SISTEMA DE ILUMINACION/EMERGENCIAS;85.0;AIO;45' - 56'
CABLEADO Y CONEXIONADO POTENCIA;;AIO;45' - 56'
INSTALACION DE CABLE;128.0;AIO;45' - 56'
CONEXIONADO DE EQUIPOS;347.0;AIO;45' - 56'
ETIQUETADO DE CABLE Y EQUIPOS;33.0;AIO;45' - 56'
INSTALACION DE MEDIA TENSION;;AIO;45' - 56'
TRANSFORMADOR;0.0;AIO;45' - 56'
TRABAJOS DE MEDIA TENSION;0.0;AIO;45' - 56'
TRABAJOS DE BT EN MT;0.0;AIO;45' - 56'
PRUEBAS DE MEDIA TENSION;0.0;AIO;45' - 56'
SISTEMA DE MONITORIZACION;;AIO;45' - 56'
MONTAJE DE EQUIPOS DE MONITORIZACION;75.0;AIO;45' - 56'
INSTALACION DE SENALES;64.0;AIO;45' - 56'
INSTALACION DE UTP;70.0;AIO;45' - 56'
R-QP05-16 Acceptance of Installations. Monitoring;1.0;AIO;45' - 56'
CONTROL DE ACCESO;13.0;AIO;45' - 56'
PRUEBAS ELECTRICAS PRODUCCION;;AIO;45' - 56'
RECOLECCION DE NUMEROS DE SERIE;;AIO;45' - 56'
PRUEBAS ELECTRICAS SIN TENSION;25.0;AIO;45' - 56'
TORQUEO;35.0;AIO;45' - 56'
R-QP05-11 Acceptance of Installations. Electrical;3.0;AIO;45' - 56'
R-QP05-40 Acceptance of Torque;3.0;AIO;45' - 56'
R-QP07-08 BCF Factory Power Energization Authorization;3.0;AIO;45' - 56'
PRUEBAS ELECTRICAS CON TENSION ;16.0;AIO;45' - 56'
SOPORTE A COMMISSIONING;6.0;AIO;45' - 56'
