PLANIFICACIÓN;Horas_Patron;FAMILIA;TAMAÃ‘O
INSTALACION DE MEDIA TENSION;;PM;50' - 56'
TRANSFORMADOR;5.0;PM;50' - 56'
TRABAJOS DE MEDIA TENSION;10.0;PM;50' - 56'
TRABAJOS DE BT EN MT;0.0;PM;50' - 56'
PRUEBAS DE MEDIA TENSION;0.0;PM;50' - 56'
SISTEMA DE MONITORIZACION;;PM;50' - 56'
MONTAJE DE EQUIPOS DE MONITORIZACION;40.0;PM;50' - 56'
INSTALACION DE SENALES;40.0;PM;50' - 56'
INSTALACION DE UTP;10.0;PM;50' - 56'
R-QP05-16 Acceptance of Installations. Monitoring;1.0;PM;50' - 56'
CONTROL DE ACCESO;2.0;PM;50' - 56'
PRUEBAS ELECTRICAS PRODUCCION;;PM;50' - 56'
RECOLECCION DE NUMEROS DE SERIE;;PM;50' - 56'
PRUEBAS ELECTRICAS SIN TENSION;56.0;PM;50' - 56'
TORQUEO;44.0;PM;50' - 56'
R-QP05-11 Acceptance of Installations. Electrical;3.0;PM;50' - 56'
R-QP05-40 Acceptance of Torque;3.0;PM;50' - 56'
R-QP07-08 BCF Factory Power Energization Authorization;3.0;PM;50' - 56'
PRUEBAS ELECTRICAS CON TENSION ;9.0;PM;50' - 56'
SOPORTE A COMMISSIONING;33.0;PM;50' - 56'
TRABAJOS DE INSTALACION PCI;24.0;PM;50' - 56'
REALIZACION DE PRUEBAS PCI;1.0;PM;50' - 56'
R-QP05-27 Door Fan Test;1.0;PM;50' - 56'
R-QP05-04 Acceptance of Installations. FSS;1.0;PM;50' - 56'
R-QP05-18 Acceptance of Installations. Assembly;3.0;PM;50' - 56'
MONTAJE DE TUBERIAS;7.0;PM;50' - 56'
TRABAJOS DE CONEXIONADO Y VALVULERIA;3.0;PM;50' - 56'
TRABAJOS DE FORRADO DE TUBERIAS;1.0;PM;50' - 56'
REALIZACION DE PRUEBAS COOLING;1.0;PM;50' - 56'
R-QP05-05 Acceptance of Installations. Cooling;1.0;PM;50' - 56'
TRASLADO Y UBICACION EN ZONA CX;8.0;PM;50' - 56'
TESTEO Cx;45.0;PM;50' - 56'
UPS START UP;;PM;50' - 56'
FAT/FOK/Witness test;;PM;50' - 56'
TRASLADO Y UBICACION EN ZONA PRODUCCION.;8.0;PM;50' - 56'
MODIFICACIONES FAT/FOK/WITNESS TEST ;30.0;PM;50' - 56'
R-QP05-03 QC 100% MDC;1.0;PM;50' - 56'
DESENSAMBLAJE INSTALACION ELECTRICA;0.0;PM;50' - 56'
DESENSAMBLAJE INSTALACION MECANICA;0.0;PM;50' - 56'
LIMPIEZA FINAL CUADROS;2.0;PM;50' - 56'
R-QP05-29 Outgoing electrical panel visual inspection;2.0;PM;50' - 56'
CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;25.0;PM;50' - 56'
CIERRE DE CUADROS Y PENDIENTES MECANICOS;15.0;PM;50' - 56'
LIMPIEZA FINAL;61.0;PM;50' - 56'
REPASOS DE PINTURA;10.0;PM;50' - 56'
R-QP05-02 Pre Shipment Inspection MDC;2.0;PM;50' - 56'
R-QP05-24 Authorization for the release of the solutions;1.0;PM;50' - 56'
EMBALAJE;24.0;PM;50' - 56'
TRABAJOS PREVIOS MECANICOS;10.0;MO;BD1
CORTE Y ENSAMBLAJE DE CARRILES Y BANDEJAS;37.0;MO;BD1
NIVELACION;9.0;MO;BD1
INSTALACION CARRILES DE SOPORTACION;25.0;MO;BD1
INSTALACION DE BANDEJAS;30.0;MO;BD1
MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;36.0;MO;BD1
EQUIPOS;;MO;BD1
INTRODUCCION/FIJACION de EQUIPOS;58.0;MO;BD1
ENSAMBLAJE DE CUADROS CUADRISTA;1.0;MO;BD1
ENSAMBLAJE DE EQUIPOS (CUADRO PRINCIPAL Y UPS);4.0;MO;BD1
CADENAS PORTACABLES;8.0;MO;BD1
INSTALACION DE SUELO;11.0;MO;BD1
PANELADO;0.0;MO;BD1
MODIFICACIONES EN PANEL;;MO;BD1
R-QP05-12 Pre-Installation of doors;1.0;MO;BD1
INSTALACION  DE PUERTAS;12.0;MO;BD1
INSTALACION ROXTEC;5.0;MO;BD1
INSTALACION DE ELEMENTOS Y/O EQUIPOS;13.0;MO;BD1
CERRAMIENTO DE ALUMINIO;35.0;MO;BD1
PERFILERIA EXTERIOR;1.0;MO;BD1
R-QP05-28 Prefabricated Module Roof Inspection;1.0;MO;BD1
CORTE Y/O PREPARACION DE CABLE;29.0;MO;BD1
MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;14.0;MO;BD1
SISTEMA DE TIERRAS;20.0;MO;BD1
SISTEMA DE ILUMINACION/EMERGENCIAS;35.0;MO;BD1
CABLEADO Y CONEXIONADO POTENCIA;;MO;BD1
INSTALACION DE CABLE;135.0;MO;BD1
CONEXIONADO DE EQUIPOS;66.0;MO;BD1
ETIQUETADO DE CABLE Y EQUIPOS;19.0;MO;BD1
INSTALACION DE MEDIA TENSION;;MO;BD1
TRANSFORMADOR;0.0;MO;BD1
TRABAJOS DE MEDIA TENSION;0.0;MO;BD1
TRABAJOS DE BT EN MT;0.0;MO;BD1
PRUEBAS DE MEDIA TENSION;0.0;MO;BD1
SISTEMA DE MONITORIZACION;;MO;BD1
MONTAJE DE EQUIPOS DE MONITORIZACION;43.0;MO;BD1
INSTALACION DE SENALES;33.0;MO;BD1
INSTALACION DE UTP;20.0;MO;BD1
R-QP05-16 Acceptance of Installations. Monitoring;1.0;MO;BD1
CONTROL DE ACCESO;9.0;MO;BD1
PRUEBAS ELECTRICAS PRODUCCION;;MO;BD1
RECOLECCION DE NUMEROS DE SERIE;;MO;BD1
PRUEBAS ELECTRICAS SIN TENSION;19.0;MO;BD1
TORQUEO;19.0;MO;BD1
R-QP05-11 Acceptance of Installations. Electrical;3.0;MO;BD1
R-QP05-40 Acceptance of Torque;3.0;MO;BD1
R-QP07-08 BCF Factory Power Energization Authorization;3.0;MO;BD1
PRUEBAS ELECTRICAS CON TENSION ;9.0;MO;BD1
SOPORTE A COMMISSIONING;1.0;MO;BD1
TRABAJOS DE INSTALACION PCI;28.0;MO;BD1
REALIZACION DE PRUEBAS PCI;3.0;MO;BD1
R-QP05-27 Door Fan Test;1.0;MO;BD1
R-QP05-04 Acceptance of Installations. FSS;1.0;MO;BD1
R-QP05-18 Acceptance of Installations. Assembly;3.0;MO;BD1
MONTAJE DE TUBERIAS;63.0;MO;BD1
TRABAJOS DE CONEXIONADO Y VALVULERIA;12.0;MO;BD1
TRABAJOS DE FORRADO DE TUBERIAS;7.0;MO;BD1
REALIZACION DE PRUEBAS COOLING;6.0;MO;BD1
R-QP05-05 Acceptance of Installations. Cooling;1.0;MO;BD1
TRASLADO Y UBICACION EN ZONA CX;8.0;MO;BD1
TESTEO Cx;45.0;MO;BD1
UPS START UP;;MO;BD1
FAT/FOK/Witness test;;MO;BD1
TRASLADO Y UBICACION EN ZONA PRODUCCION.;8.0;MO;BD1
MODIFICACIONES FAT/FOK/WITNESS TEST ;30.0;MO;BD1
R-QP05-03 QC 100% MDC;1.0;MO;BD1
DESENSAMBLAJE INSTALACION ELECTRICA;0.0;MO;BD1
DESENSAMBLAJE INSTALACION MECANICA;0.0;MO;BD1
LIMPIEZA FINAL CUADROS;15.0;MO;BD1
R-QP05-29 Outgoing electrical panel visual inspection;2.0;MO;BD1
CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;11.0;MO;BD1
CIERRE DE CUADROS Y PENDIENTES MECANICOS;25.0;MO;BD1
LIMPIEZA FINAL;20.0;MO;BD1
REPASOS DE PINTURA;6.0;MO;BD1
R-QP05-02 Pre Shipment Inspection MDC;2.0;MO;BD1
R-QP05-24 Authorization for the release of the solutions;1.0;MO;BD1
EMBALAJE;16.0;MO;BD1
TRABAJOS PREVIOS MECANICOS;10.0;MO;BD3
CORTE Y ENSAMBLAJE DE CARRILES Y BANDEJAS;32.0;MO;BD3
NIVELACION;8.0;MO;BD3
INSTALACION CARRILES DE SOPORTACION;33.0;MO;BD3
INSTALACION DE BANDEJAS;37.0;MO;BD3
MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;17.0;MO;BD3
EQUIPOS;;MO;BD3
INTRODUCCION/FIJACION de EQUIPOS;72.0;MO;BD3
ENSAMBLAJE DE CUADROS CUADRISTA;3.0;MO;BD3
ENSAMBLAJE DE EQUIPOS (CUADRO PRINCIPAL Y UPS);12.0;MO;BD3
CADENAS PORTACABLES;8.0;MO;BD3
INSTALACION DE SUELO;2.0;MO;BD3
PANELADO;1.0;MO;BD3
MODIFICACIONES EN PANEL;;MO;BD3
R-QP05-12 Pre-Installation of doors;1.0;MO;BD3
INSTALACION  DE PUERTAS;0.0;MO;BD3
INSTALACION ROXTEC;4.0;MO;BD3
INSTALACION DE ELEMENTOS Y/O EQUIPOS;17.0;MO;BD3
CERRAMIENTO DE ALUMINIO;25.0;MO;BD3
PERFILERIA EXTERIOR;0.0;MO;BD3
R-QP05-28 Prefabricated Module Roof Inspection;1.0;MO;BD3
CORTE Y/O PREPARACION DE CABLE;29.0;MO;BD3
MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;6.0;MO;BD3
SISTEMA DE TIERRAS;18.0;MO;BD3
SISTEMA DE ILUMINACION/EMERGENCIAS;33.0;MO;BD3
CABLEADO Y CONEXIONADO POTENCIA;;MO;BD3
INSTALACION DE CABLE;37.0;MO;BD3
CONEXIONADO DE EQUIPOS;131.0;MO;BD3
ETIQUETADO DE CABLE Y EQUIPOS;6.0;MO;BD3
INSTALACION DE MEDIA TENSION;;MO;BD3
TRANSFORMADOR;0.0;MO;BD3
TRABAJOS DE MEDIA TENSION;0.0;MO;BD3
TRABAJOS DE BT EN MT;0.0;MO;BD3
PRUEBAS DE MEDIA TENSION;0.0;MO;BD3
SISTEMA DE MONITORIZACION;;MO;BD3
MONTAJE DE EQUIPOS DE MONITORIZACION;33.0;MO;BD3
INSTALACION DE SENALES;33.0;MO;BD3
INSTALACION DE UTP;37.0;MO;BD3
R-QP05-16 Acceptance of Installations. Monitoring;1.0;MO;BD3
CONTROL DE ACCESO;10.0;MO;BD3
PRUEBAS ELECTRICAS PRODUCCION;;MO;BD3
RECOLECCION DE NUMEROS DE SERIE;;MO;BD3
PRUEBAS ELECTRICAS SIN TENSION;33.0;MO;BD3
TORQUEO;24.0;MO;BD3
R-QP05-11 Acceptance of Installations. Electrical;3.0;MO;BD3
R-QP05-40 Acceptance of Torque;3.0;MO;BD3
R-QP07-08 BCF Factory Power Energization Authorization;3.0;MO;BD3
PRUEBAS ELECTRICAS CON TENSION ;8.0;MO;BD3
SOPORTE A COMMISSIONING;2.0;MO;BD3
TRABAJOS DE INSTALACION PCI;77.0;MO;BD3
REALIZACION DE PRUEBAS PCI;2.0;MO;BD3
R-QP05-27 Door Fan Test;1.0;MO;BD3
R-QP05-04 Acceptance of Installations. FSS;1.0;MO;BD3
R-QP05-18 Acceptance of Installations. Assembly;3.0;MO;BD3
MONTAJE DE TUBERIAS;27.0;MO;BD3
TRABAJOS DE CONEXIONADO Y VALVULERIA;7.0;MO;BD3
TRABAJOS DE FORRADO DE TUBERIAS;5.0;MO;BD3
REALIZACION DE PRUEBAS COOLING;10.0;MO;BD3
R-QP05-05 Acceptance of Installations. Cooling;1.0;MO;BD3
TRASLADO Y UBICACION EN ZONA CX;8.0;MO;BD3
TESTEO Cx;45.0;MO;BD3
UPS START UP;;MO;BD3
FAT/FOK/Witness test;;MO;BD3
TRASLADO Y UBICACION EN ZONA PRODUCCION.;8.0;MO;BD3
MODIFICACIONES FAT/FOK/WITNESS TEST ;30.0;MO;BD3
R-QP05-03 QC 100% MDC;1.0;MO;BD3
DESENSAMBLAJE INSTALACION ELECTRICA;0.0;MO;BD3
DESENSAMBLAJE INSTALACION MECANICA;2.0;MO;BD3
LIMPIEZA FINAL CUADROS;15.0;MO;BD3
R-QP05-29 Outgoing electrical panel visual inspection;2.0;MO;BD3
CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;22.0;MO;BD3
CIERRE DE CUADROS Y PENDIENTES MECANICOS;6.0;MO;BD3
LIMPIEZA FINAL;31.0;MO;BD3
REPASOS DE PINTURA;11.0;MO;BD3
R-QP05-02 Pre Shipment Inspection MDC;2.0;MO;BD3
R-QP05-24 Authorization for the release of the solutions;1.0;MO;BD3
EMBALAJE;12.0;MO;BD3
TRABAJOS PREVIOS MECANICOS;10.0;MO;BD4
CORTE Y ENSAMBLAJE DE CARRILES Y BANDEJAS;102.0;MO;BD4
NIVELACION;17.0;MO;BD4
INSTALACION CARRILES DE SOPORTACION;112.0;MO;BD4
INSTALACION DE BANDEJAS;185.0;MO;BD4
MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;59.0;MO;BD4
EQUIPOS;;MO;BD4
INTRODUCCION/FIJACION de EQUIPOS;156.0;MO;BD4
ENSAMBLAJE DE CUADROS CUADRISTA;30.0;MO;BD4
ENSAMBLAJE DE EQUIPOS (CUADRO PRINCIPAL Y UPS);22.0;MO;BD4
CADENAS PORTACABLES;8.0;MO;BD4
INSTALACION DE SUELO;18.0;MO;BD4
PANELADO;178.0;MO;BD4
MODIFICACIONES EN PANEL;;MO;BD4
R-QP05-12 Pre-Installation of doors;1.0;MO;BD4
INSTALACION  DE PUERTAS;20.0;MO;BD4
INSTALACION ROXTEC;17.0;MO;BD4
INSTALACION DE ELEMENTOS Y/O EQUIPOS;36.0;MO;BD4
CERRAMIENTO DE ALUMINIO;41.0;MO;BD4
PERFILERIA EXTERIOR;31.0;MO;BD4
R-QP05-28 Prefabricated Module Roof Inspection;1.0;MO;BD4
CORTE Y/O PREPARACION DE CABLE;17.0;MO;BD4
MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;20.0;MO;BD4
SISTEMA DE TIERRAS;30.0;MO;BD4
SISTEMA DE ILUMINACION/EMERGENCIAS;48.0;MO;BD4
CABLEADO Y CONEXIONADO POTENCIA;;MO;BD4
INSTALACION DE CABLE;128.0;MO;BD4
CONEXIONADO DE EQUIPOS;134.0;MO;BD4
ETIQUETADO DE CABLE Y EQUIPOS;33.0;MO;BD4
INSTALACION DE MEDIA TENSION;;MO;BD4
TRANSFORMADOR;0.0;MO;BD4
TRABAJOS DE MEDIA TENSION;0.0;MO;BD4
TRABAJOS DE BT EN MT;0.0;MO;BD4
PRUEBAS DE MEDIA TENSION;0.0;MO;BD4
SISTEMA DE MONITORIZACION;;MO;BD4
MONTAJE DE EQUIPOS DE MONITORIZACION;184.0;MO;BD4
INSTALACION DE SENALES;12.0;MO;BD4
INSTALACION DE UTP;0.0;MO;BD4
R-QP05-16 Acceptance of Installations. Monitoring;1.0;MO;BD4
CONTROL DE ACCESO;0.0;MO;BD4
PRUEBAS ELECTRICAS PRODUCCION;;MO;BD4
RECOLECCION DE NUMEROS DE SERIE;;MO;BD4
PRUEBAS ELECTRICAS SIN TENSION;25.0;MO;BD4
TORQUEO;35.0;MO;BD4
R-QP05-11 Acceptance of Installations. Electrical;3.0;MO;BD4
R-QP05-40 Acceptance of Torque;3.0;MO;BD4
R-QP07-08 BCF Factory Power Energization Authorization;3.0;MO;BD4
PRUEBAS ELECTRICAS CON TENSION ;46.0;MO;BD4
SOPORTE A COMMISSIONING;6.0;MO;BD4
TRABAJOS DE INSTALACION PCI;161.0;MO;BD4
REALIZACION DE PRUEBAS PCI;20.0;MO;BD4
R-QP05-27 Door Fan Test;1.0;MO;BD4
R-QP05-04 Acceptance of Installations. FSS;1.0;MO;BD4
R-QP05-18 Acceptance of Installations. Assembly;3.0;MO;BD4
MONTAJE DE TUBERIAS;86.0;MO;BD4
TRABAJOS DE CONEXIONADO Y VALVULERIA;7.0;MO;BD4
TRABAJOS DE FORRADO DE TUBERIAS;8.0;MO;BD4
REALIZACION DE PRUEBAS COOLING;6.0;MO;BD4
R-QP05-05 Acceptance of Installations. Cooling;1.0;MO;BD4
TRASLADO Y UBICACION EN ZONA CX;8.0;MO;BD4
TESTEO Cx;45.0;MO;BD4
UPS START UP;;MO;BD4
FAT/FOK/Witness test;;MO;BD4
TRASLADO Y UBICACION EN ZONA PRODUCCION.;8.0;MO;BD4
MODIFICACIONES FAT/FOK/WITNESS TEST ;30.0;MO;BD4
R-QP05-03 QC 100% MDC;1.0;MO;BD4
DESENSAMBLAJE INSTALACION ELECTRICA;0.0;MO;BD4
DESENSAMBLAJE INSTALACION MECANICA;0.0;MO;BD4
LIMPIEZA FINAL CUADROS;15.0;MO;BD4
R-QP05-29 Outgoing electrical panel visual inspection;2.0;MO;BD4
CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;23.0;MO;BD4
CIERRE DE CUADROS Y PENDIENTES MECANICOS;41.0;MO;BD4
LIMPIEZA FINAL;30.0;MO;BD4
REPASOS DE PINTURA;2.0;MO;BD4
R-QP05-02 Pre Shipment Inspection MDC;2.0;MO;BD4
R-QP05-24 Authorization for the release of the solutions;1.0;MO;BD4
EMBALAJE;16.0;MO;BD4
TRABAJOS PREVIOS MECANICOS;10.0;SKID;20' - 45'
CORTE Y ENSAMBLAJE DE CARRILES Y BANDEJAS;57.0;SKID;20' - 45'
NIVELACION;0.0;SKID;20' - 45'
INSTALACION CARRILES DE SOPORTACION;53.0;SKID;20' - 45'
INSTALACION DE BANDEJAS;57.0;SKID;20' - 45'
MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;33.0;SKID;20' - 45'
EQUIPOS;;SKID;20' - 45'
INTRODUCCION/FIJACION de EQUIPOS;68.0;SKID;20' - 45'
ENSAMBLAJE DE CUADROS CUADRISTA;1.0;SKID;20' - 45'
ENSAMBLAJE DE EQUIPOS (CUADRO PRINCIPAL Y UPS);0.0;SKID;20' - 45'
CADENAS PORTACABLES;8.0;SKID;20' - 45'
INSTALACION DE SUELO;0.0;SKID;20' - 45'
PANELADO;0.0;SKID;20' - 45'
MODIFICACIONES EN PANEL;;SKID;20' - 45'
R-QP05-12 Pre-Installation of doors;1.0;SKID;20' - 45'
INSTALACION  DE PUERTAS;0.0;SKID;20' - 45'
INSTALACION ROXTEC;0.0;SKID;20' - 45'
INSTALACION DE ELEMENTOS Y/O EQUIPOS;0.0;SKID;20' - 45'
CERRAMIENTO DE ALUMINIO;0.0;SKID;20' - 45'
PERFILERIA EXTERIOR;0.0;SKID;20' - 45'
R-QP05-28 Prefabricated Module Roof Inspection;1.0;SKID;20' - 45'
CORTE Y/O PREPARACION DE CABLE;62.0;SKID;20' - 45'
MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;0.0;SKID;20' - 45'
SISTEMA DE TIERRAS;26.0;SKID;20' - 45'
SISTEMA DE ILUMINACION/EMERGENCIAS;22.0;SKID;20' - 45'
CABLEADO Y CONEXIONADO POTENCIA;;SKID;20' - 45'
INSTALACION DE CABLE;206.0;SKID;20' - 45'
CONEXIONADO DE EQUIPOS;66.0;SKID;20' - 45'
ETIQUETADO DE CABLE Y EQUIPOS;23.0;SKID;20' - 45'
INSTALACION DE MEDIA TENSION;;SKID;20' - 45'
TRANSFORMADOR;0.0;SKID;20' - 45'
TRABAJOS DE MEDIA TENSION;0.0;SKID;20' - 45'
TRABAJOS DE BT EN MT;0.0;SKID;20' - 45'
PRUEBAS DE MEDIA TENSION;0.0;SKID;20' - 45'
SISTEMA DE MONITORIZACION;;SKID;20' - 45'
MONTAJE DE EQUIPOS DE MONITORIZACION;40.0;SKID;20' - 45'
INSTALACION DE SENALES;40.0;SKID;20' - 45'
INSTALACION DE UTP;10.0;SKID;20' - 45'
R-QP05-16 Acceptance of Installations. Monitoring;1.0;SKID;20' - 45'
CONTROL DE ACCESO;0.0;SKID;20' - 45'
PRUEBAS ELECTRICAS PRODUCCION;;SKID;20' - 45'
RECOLECCION DE NUMEROS DE SERIE;;SKID;20' - 45'
PRUEBAS ELECTRICAS SIN TENSION;14.0;SKID;20' - 45'
TORQUEO;41.0;SKID;20' - 45'
R-QP05-11 Acceptance of Installations. Electrical;3.0;SKID;20' - 45'
R-QP05-40 Acceptance of Torque;3.0;SKID;20' - 45'
R-QP07-08 BCF Factory Power Energization Authorization;3.0;SKID;20' - 45'
PRUEBAS ELECTRICAS CON TENSION ;7.0;SKID;20' - 45'
SOPORTE A COMMISSIONING;8.0;SKID;20' - 45'
TRABAJOS DE INSTALACION PCI;0.0;SKID;20' - 45'
REALIZACION DE PRUEBAS PCI;0.0;SKID;20' - 45'
R-QP05-27 Door Fan Test;1.0;SKID;20' - 45'
R-QP05-04 Acceptance of Installations. FSS;1.0;SKID;20' - 45'
R-QP05-18 Acceptance of Installations. Assembly;3.0;SKID;20' - 45'
MONTAJE DE TUBERIAS;0.0;SKID;20' - 45'
TRABAJOS DE CONEXIONADO Y VALVULERIA;0.0;SKID;20' - 45'
TRABAJOS DE FORRADO DE TUBERIAS;0.0;SKID;20' - 45'
REALIZACION DE PRUEBAS COOLING;0.0;SKID;20' - 45'
R-QP05-05 Acceptance of Installations. Cooling;1.0;SKID;20' - 45'
TRASLADO Y UBICACION EN ZONA CX;8.0;SKID;20' - 45'
TESTEO Cx;45.0;SKID;20' - 45'
UPS START UP;;SKID;20' - 45'
FAT/FOK/Witness test;;SKID;20' - 45'
TRASLADO Y UBICACION EN ZONA PRODUCCION.;8.0;SKID;20' - 45'
MODIFICACIONES FAT/FOK/WITNESS TEST ;30.0;SKID;20' - 45'
R-QP05-03 QC 100% MDC;1.0;SKID;20' - 45'
DESENSAMBLAJE INSTALACION ELECTRICA;3.0;SKID;20' - 45'
DESENSAMBLAJE INSTALACION MECANICA;1.0;SKID;20' - 45'
LIMPIEZA FINAL CUADROS;23.0;SKID;20' - 45'
R-QP05-29 Outgoing electrical panel visual inspection;2.0;SKID;20' - 45'
CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;43.0;SKID;20' - 45'
CIERRE DE CUADROS Y PENDIENTES MECANICOS;20.0;SKID;20' - 45'
LIMPIEZA FINAL;54.0;SKID;20' - 45'
REPASOS DE PINTURA;0.0;SKID;20' - 45'
R-QP05-02 Pre Shipment Inspection MDC;2.0;SKID;20' - 45'
R-QP05-24 Authorization for the release of the solutions;1.0;SKID;20' - 45'
EMBALAJE;24.0;SKID;20' - 45'
TRABAJOS PREVIOS MECANICOS;10.0;BM;20' - 45'
CORTE Y ENSAMBLAJE DE CARRILES Y BANDEJAS;41.0;BM;20' - 45'
NIVELACION;3.0;BM;20' - 45'
INSTALACION CARRILES DE SOPORTACION;39.0;BM;20' - 45'
INSTALACION DE BANDEJAS;33.0;BM;20' - 45'
MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;65.0;BM;20' - 45'
EQUIPOS;;BM;20' - 45'
INTRODUCCION/FIJACION de EQUIPOS;70.0;BM;20' - 45'
ENSAMBLAJE DE CUADROS CUADRISTA;0.0;BM;20' - 45'
ENSAMBLAJE DE EQUIPOS (CUADRO PRINCIPAL Y UPS);0.0;BM;20' - 45'
CADENAS PORTACABLES;8.0;BM;20' - 45'
INSTALACION DE SUELO;15.0;BM;20' - 45'
PANELADO;63.0;BM;20' - 45'
MODIFICACIONES EN PANEL;;BM;20' - 45'
R-QP05-12 Pre-Installation of doors;1.0;BM;20' - 45'
INSTALACION  DE PUERTAS;0.0;BM;20' - 45'
INSTALACION ROXTEC;0.0;BM;20' - 45'
INSTALACION DE ELEMENTOS Y/O EQUIPOS;0.0;BM;20' - 45'
CERRAMIENTO DE ALUMINIO;0.0;BM;20' - 45'
PERFILERIA EXTERIOR;0.0;BM;20' - 45'
R-QP05-28 Prefabricated Module Roof Inspection;1.0;BM;20' - 45'
CORTE Y/O PREPARACION DE CABLE;14.0;BM;20' - 45'
MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;0.0;BM;20' - 45'
SISTEMA DE TIERRAS;19.0;BM;20' - 45'
SISTEMA DE ILUMINACION/EMERGENCIAS;34.0;BM;20' - 45'
CABLEADO Y CONEXIONADO POTENCIA;;BM;20' - 45'
INSTALACION DE CABLE;55.0;BM;20' - 45'
CONEXIONADO DE EQUIPOS;53.0;BM;20' - 45'
ETIQUETADO DE CABLE Y EQUIPOS;5.0;BM;20' - 45'
INSTALACION DE MEDIA TENSION;;BM;20' - 45'
TRANSFORMADOR;0.0;BM;20' - 45'
TRABAJOS DE MEDIA TENSION;0.0;BM;20' - 45'
TRABAJOS DE BT EN MT;0.0;BM;20' - 45'
PRUEBAS DE MEDIA TENSION;0.0;BM;20' - 45'
SISTEMA DE MONITORIZACION;;BM;20' - 45'
MONTAJE DE EQUIPOS DE MONITORIZACION;40.0;BM;20' - 45'
INSTALACION DE SENALES;40.0;BM;20' - 45'
INSTALACION DE UTP;10.0;BM;20' - 45'
R-QP05-16 Acceptance of Installations. Monitoring;1.0;BM;20' - 45'
CONTROL DE ACCESO;7.0;BM;20' - 45'
PRUEBAS ELECTRICAS PRODUCCION;;BM;20' - 45'
RECOLECCION DE NUMEROS DE SERIE;;BM;20' - 45'
PRUEBAS ELECTRICAS SIN TENSION;8.0;BM;20' - 45'
TORQUEO;7.0;BM;20' - 45'
R-QP05-11 Acceptance of Installations. Electrical;3.0;BM;20' - 45'
R-QP05-40 Acceptance of Torque;3.0;BM;20' - 45'
R-QP07-08 BCF Factory Power Energization Authorization;3.0;BM;20' - 45'
PRUEBAS ELECTRICAS CON TENSION ;2.0;BM;20' - 45'
SOPORTE A COMMISSIONING;4.0;BM;20' - 45'
TRABAJOS DE INSTALACION PCI;19.0;BM;20' - 45'
REALIZACION DE PRUEBAS PCI;4.0;BM;20' - 45'
R-QP05-27 Door Fan Test;1.0;BM;20' - 45'
R-QP05-04 Acceptance of Installations. FSS;1.0;BM;20' - 45'
R-QP05-18 Acceptance of Installations. Assembly;3.0;BM;20' - 45'
MONTAJE DE TUBERIAS;31.0;BM;20' - 45'
TRABAJOS DE CONEXIONADO Y VALVULERIA;1.0;BM;20' - 45'
TRABAJOS DE FORRADO DE TUBERIAS;19.0;BM;20' - 45'
REALIZACION DE PRUEBAS COOLING;0.0;BM;20' - 45'
R-QP05-05 Acceptance of Installations. Cooling;1.0;BM;20' - 45'
TRASLADO Y UBICACION EN ZONA CX;8.0;BM;20' - 45'
TESTEO Cx;45.0;BM;20' - 45'
UPS START UP;;BM;20' - 45'
FAT/FOK/Witness test;;BM;20' - 45'
TRASLADO Y UBICACION EN ZONA PRODUCCION.;8.0;BM;20' - 45'
MODIFICACIONES FAT/FOK/WITNESS TEST ;30.0;BM;20' - 45'
R-QP05-03 QC 100% MDC;1.0;BM;20' - 45'
DESENSAMBLAJE INSTALACION ELECTRICA;0.0;BM;20' - 45'
DESENSAMBLAJE INSTALACION MECANICA;1.0;BM;20' - 45'
LIMPIEZA FINAL CUADROS;4.0;BM;20' - 45'
R-QP05-29 Outgoing electrical panel visual inspection;2.0;BM;20' - 45'
CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;5.0;BM;20' - 45'
CIERRE DE CUADROS Y PENDIENTES MECANICOS;3.0;BM;20' - 45'
LIMPIEZA FINAL;16.0;BM;20' - 45'
REPASOS DE PINTURA;0.0;BM;20' - 45'
R-QP05-02 Pre Shipment Inspection MDC;2.0;BM;20' - 45'
R-QP05-24 Authorization for the release of the solutions;1.0;BM;20' - 45'
EMBALAJE;24.0;BM;20' - 45'
